name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
板橋仲宿,repark-rep0003145,,35.753493148741,139.70938086532,self_propelled,3,TRUE,,,hourly,250,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003145&st=4&pref=13
板橋３丁目,repark-rep0007493,東京都板橋区板橋３丁目３ー２,35.749985242525,139.71233355963,self_propelled,4,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007493&st=4&pref=13
板橋２丁目第６,repark-rep0026343,東京都板橋区板橋２丁目４８ー２,35.748904795541,139.71195864052,self_propelled,7,TRUE,,,hourly,250,25,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026343&st=4&pref=13
板橋２丁目第７,repark-rep0029057,東京都板橋区板橋２丁目１６‐９,35.747607679097,139.71005885802,self_propelled,5,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0029057&st=4&pref=13
大山東町第１０,repark-rep0026335,,35.747724293259,139.70774793357,self_propelled,9,TRUE,,,hourly,130,10,,ハイルーフ,5000,1900,2000,2000,9,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026335&st=4&pref=13
板橋２丁目第５,repark-rep0023479,東京都板橋区板橋２丁目３２,35.748163209124,139.71203089066,self_propelled,6,TRUE,,,hourly,220,25,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023479&st=4&pref=13
板橋氷川町第４,repark-rep0016134,,35.753665287414,139.70566449903,self_propelled,3,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016134&st=4&pref=13
大山東町第９,repark-rep0020970,,35.748088099069,139.70527034458,self_propelled,10,TRUE,,,hourly,350,30,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020970&st=4&pref=13
中村北１丁目,repark-rep0010328,東京都練馬区中村北１丁目６ー１４,35.734885753551,139.64912839304,self_propelled,3,TRUE,,,hourly,230,25,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0010328&st=4&pref=13
豊玉北５丁目第７,repark-rep0026142,東京都練馬区豊玉北５丁目１１ー７,35.734366474662,139.65545844625,self_propelled,4,TRUE,,,hourly,250,25,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026142&st=4&pref=13
