name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
根津駅前,repark-rep0023233,東京都文京区根津２丁目１８ー１１,35.718420107085,139.76576668653,self_propelled,4,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023233&st=4&pref=13
小石川５丁目,repark-rep0004718,東京都文京区小石川５丁目１９－３８,35.718491841586,139.73829674258,self_propelled,13,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,13,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0004718&st=4&pref=13
千駄木２丁目第２,repark-rep0022359,東京都文京区千駄木２丁目２,35.721441928047,139.76131136139,self_propelled,6,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022359&st=4&pref=13
小石川５丁目第４,repark-rep0012158,東京都文京区小石川５丁目１９ー２,35.718577936372,139.73783844268,self_propelled,8,TRUE,,,hourly,500,15,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012158&st=4&pref=13
湯島３丁目第９,repark-rep0019234,東京都文京区湯島３丁目４０ー５,35.70760471057,139.77221664888,self_propelled,5,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019234&st=4&pref=13
大塚３丁目第２,repark-rep0017322,東京都文京区大塚３丁目３４ー１１,35.721108254881,139.73979371978,self_propelled,5,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017322&st=4&pref=13
千石１丁目第３,repark-rep0021223,東京都文京区千石１丁目１ー１５,35.723891383684,139.74514592513,self_propelled,6,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021223&st=4&pref=13
千駄木１丁目第５,repark-rep0027314,東京都文京区千駄木１丁目２２ー１０,35.723741651354,139.75955306852,self_propelled,4,TRUE,,,hourly,330,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027314&st=4&pref=13
千駄木１丁目第４,repark-rep0025786,東京都文京区千駄木１丁目１０ー５,35.72364722284,139.75986138027,self_propelled,6,TRUE,,,hourly,330,30,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025786&st=4&pref=13
小日向２丁目第２,repark-rep0025271,東京都文京区小日向２丁目２８ー４,35.713761692295,139.73255854794,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025271&st=4&pref=13
千駄木１丁目,repark-rep0020453,東京都文京区千駄木１丁目１９ー１０,35.724608187292,139.75735598909,self_propelled,2,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020453&st=4&pref=13
大塚３丁目第３,repark-rep0025173,東京都文京区大塚３丁目３５ー１０,35.721352656613,139.73881323395,self_propelled,6,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025173&st=4&pref=13
白山５丁目,repark-rep0016420,東京都文京区白山５丁目２１ー６,35.725235747233,139.74871501082,self_propelled,3,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016420&st=4&pref=13
音羽１丁目第３,repark-rep0015610,東京都文京区音羽１丁目２５ー９,35.712945074459,139.73037265608,self_propelled,6,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015610&st=4&pref=13
千駄木３丁目第４,repark-rep0009689,東京都文京区千駄木３丁目１ー１５,35.725338751606,139.76230554439,self_propelled,3,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009689&st=4&pref=13
千石１丁目第２,repark-rep0015723,東京都文京区千石１丁目２３ー７,35.726629987522,139.74559020613,self_propelled,2,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015723&st=4&pref=13
本駒込２丁目第３,repark-rep0021380,東京都文京区本駒込２丁目１０,35.72727993348,139.74647621362,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021380&st=4&pref=13
千駄木３丁目第５,repark-rep0014719,東京都文京区千駄木３丁目４０ー１,35.726033142486,139.76351652285,self_propelled,5,TRUE,,,hourly,440,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014719&st=4&pref=13
千駄木３丁目第６,repark-rep0014720,東京都文京区千駄木３丁目４０ー２０,35.725883172208,139.7642997977,self_propelled,8,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014720&st=4&pref=13
千駄木３丁目第７,repark-rep0021928,東京都文京区千駄木３丁目１０ー１,35.727235743774,139.76076391807,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021928&st=4&pref=13
本駒込２丁目第２,repark-rep0019600,東京都文京区本駒込２丁目１０ー１０,35.72791041559,139.74610677127,self_propelled,1,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019600&st=4&pref=13
千駄木３丁目第３,repark-rep0007995,東京都文京区千駄木３丁目４０ー１６,35.726249801691,139.76439699475,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007995&st=4&pref=13
本駒込２丁目,repark-rep0010400,東京都文京区本駒込２丁目１２ー１７,35.729551947278,139.74841205923,self_propelled,4,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0010400&st=4&pref=13
音羽２丁目第２,repark-rep0026724,東京都文京区音羽２丁目３ー７,35.718941615908,139.72813089913,self_propelled,2,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026724&st=4&pref=13
音羽２丁目第３,repark-rep0028479,東京都文京区音羽２丁目３ー９,35.719194367601,139.72817255104,self_propelled,3,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028479&st=4&pref=13
音羽２丁目,repark-rep0026539,東京都文京区音羽２丁目３ー７,35.719047159503,139.72806701058,self_propelled,7,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026539&st=4&pref=13
